implementation,corpus_name,cold_ns,warm_ns,parse_eval_ns,compile_ns,memory_bytes_per_eval
blaze-compile,ansible-meta,13200000,111890,1442433,10800000,
blaze-template,ansible-meta,11500000,111890,1442433,0,
corvus-runtime-jit,ansible-meta,152300000,77670,213350,114990000,0
corvus-runtime-r2r,ansible-meta,55800000,75740,222800,,0
corvus-runtime-aot,ansible-meta,4200000,87580,225290,1230000,0
corvus-image-jit,ansible-meta,120300000,77670,213350,33560000,0
corvus-image-aot,ansible-meta,3800000,87580,225290,430000,0
corvus-generated-jit,ansible-meta,122000000,82290,209660,43830000,0
corvus-generated-aot,ansible-meta,4100000,91880,231340,530000,0
blaze-compile,aws-cdk,7400000,24570,3105643,200000,
blaze-template,aws-cdk,6200000,24570,3105643,0,
corvus-runtime-jit,aws-cdk,145100000,16580,358160,65880000,0
corvus-runtime-r2r,aws-cdk,45500000,15190,382700,,0
corvus-runtime-aot,aws-cdk,4200000,16860,422980,100000,0
corvus-image-jit,aws-cdk,113200000,16580,358160,16680000,0
corvus-image-aot,aws-cdk,4100000,16860,422980,40000,0
corvus-generated-jit,aws-cdk,115800000,18480,325330,29600000,0
corvus-generated-aot,aws-cdk,4500000,16730,424560,60000,0
blaze-compile,babelrc,6300000,48010,2179274,1400000,
blaze-template,babelrc,5900000,48010,2179274,0,
corvus-runtime-jit,babelrc,141900000,50730,279230,72180000,0
corvus-runtime-r2r,babelrc,46500000,51930,288440,,0
corvus-runtime-aot,babelrc,3500000,52470,266060,230000,0
corvus-image-jit,babelrc,108000000,50730,279230,23800000,0
corvus-image-aot,babelrc,3400000,52470,266060,90000,0
corvus-generated-jit,babelrc,106300000,53870,240450,32700000,0
corvus-generated-aot,babelrc,3700000,56320,259490,110000,0
blaze-compile,clang-format,9600000,47200,508382,7000000,
blaze-template,clang-format,9300000,47200,508382,0,
corvus-runtime-jit,clang-format,145800000,16600,59130,104480000,0
corvus-runtime-r2r,clang-format,43900000,17370,59440,,0
corvus-runtime-aot,clang-format,3800000,17330,145820,940000,0
corvus-image-jit,clang-format,121600000,16600,59130,25170000,0
corvus-image-aot,clang-format,3100000,17330,145820,410000,0
corvus-generated-jit,clang-format,124300000,17380,64030,35480000,0
corvus-generated-aot,clang-format,3600000,25160,67950,500000,0
blaze-compile,cmake-presets,39200000,1820000,20013070,21200000,
blaze-template,cmake-presets,34300000,1820000,20013070,0,
corvus-runtime-jit,cmake-presets,197400000,1620000,3630000,84660000,0
corvus-runtime-r2r,cmake-presets,108100000,1640000,3890000,,0
corvus-runtime-aot,cmake-presets,14000000,1760000,4460000,1810000,0
corvus-image-jit,cmake-presets,171000000,1620000,3630000,25590000,0
corvus-image-aot,cmake-presets,12800000,1760000,4460000,680000,0
corvus-generated-jit,cmake-presets,162400000,1610000,3680000,45700000,0
corvus-generated-aot,cmake-presets,13600000,1850000,4470000,810000,0
blaze-compile,code-climate,14300000,81830,10726432,1300000,
blaze-template,code-climate,14100000,81830,10726432,0,
corvus-runtime-jit,code-climate,149300000,61620,1080000,83960000,0
corvus-runtime-r2r,code-climate,54400000,64930,1250000,,0
corvus-runtime-aot,code-climate,6000000,70700,1130000,190000,0
corvus-image-jit,code-climate,111700000,61620,1080000,16260000,0
corvus-image-aot,code-climate,5300000,70700,1130000,60000,0
corvus-generated-jit,code-climate,102600000,61290,948830,28530000,0
corvus-generated-aot,code-climate,6000000,70560,1170000,80000,0
blaze-compile,cql2,13700000,105770,487447,19800000,
blaze-template,cql2,20600000,105770,487447,0,
corvus-runtime-jit,cql2,156800000,52970,95710,86350000,0
corvus-runtime-r2r,cql2,50400000,54580,99280,,0
corvus-runtime-aot,cql2,3700000,58200,107000,880000,0
corvus-image-jit,cql2,114400000,52970,95710,29590000,0
corvus-image-aot,cql2,3000000,58200,107000,370000,0
corvus-generated-jit,cql2,114500000,55500,96280,44810000,0
corvus-generated-aot,cql2,3900000,60090,106430,430000,0
blaze-compile,cspell,24500000,250890,6834697,17900000,
blaze-template,cspell,23600000,250890,6834697,0,
corvus-runtime-jit,cspell,176000000,168560,897460,83170000,0
corvus-runtime-r2r,cspell,67900000,168410,927630,,0
corvus-runtime-aot,cspell,6700000,173310,1010000,1540000,0
corvus-image-jit,cspell,122700000,168560,897460,32280000,0
corvus-image-aot,cspell,5600000,173310,1010000,630000,0
corvus-generated-jit,cspell,121800000,163940,873410,43110000,0
corvus-generated-aot,cspell,6200000,182700,1020000,520000,0
blaze-compile,cypress,9200000,77670,4394448,2500000,
blaze-template,cypress,9000000,77670,4394448,0,
corvus-runtime-jit,cypress,152500000,51300,542080,76990000,0
corvus-runtime-r2r,cypress,52100000,51750,593060,,0
corvus-runtime-aot,cypress,5100000,50040,615260,500000,0
corvus-image-jit,cypress,123000000,51300,542080,26660000,0
corvus-image-aot,cypress,4900000,50040,615260,150000,0
corvus-generated-jit,cypress,122400000,48370,519960,35130000,0
corvus-generated-aot,cypress,5500000,50410,601530,180000,0
blaze-compile,deno,13800000,117520,6420651,3900000,
blaze-template,deno,13400000,117520,6420651,0,
corvus-runtime-jit,deno,151900000,81090,904820,88100000,0
corvus-runtime-r2r,deno,56000000,79540,945030,,0
corvus-runtime-aot,deno,6400000,88290,1090000,410000,0
corvus-image-jit,deno,125700000,81090,904820,26110000,0
corvus-image-aot,deno,6200000,88290,1090000,150000,0
corvus-generated-jit,deno,126500000,75080,880900,34910000,0
corvus-generated-aot,deno,6400000,88690,1020000,190000,0
blaze-compile,dependabot,8400000,145980,4298445,1600000,
blaze-template,dependabot,8000000,145980,4298445,0,
corvus-runtime-jit,dependabot,145200000,127690,591520,94510000,0
corvus-runtime-r2r,dependabot,50200000,132940,692470,,0
corvus-runtime-aot,dependabot,4900000,134470,643070,270000,0
corvus-image-jit,dependabot,119600000,127690,591520,23510000,0
corvus-image-aot,dependabot,4500000,134470,643070,240000,0
corvus-generated-jit,dependabot,108200000,131920,555080,32110000,0
corvus-generated-aot,dependabot,4800000,133010,649640,130000,0
blaze-compile,draft-04,47200000,3150000,41740414,1900000,
blaze-template,draft-04,42700000,3150000,41740414,0,
corvus-runtime-jit,draft-04,220200000,1700000,5600000,73800000,0
corvus-runtime-r2r,draft-04,170400000,1800000,6420000,,0
corvus-runtime-aot,draft-04,21300000,1950000,7160000,280000,0
corvus-image-jit,draft-04,187500000,1700000,5600000,23710000,0
corvus-image-aot,draft-04,20200000,1950000,7160000,100000,0
corvus-generated-jit,draft-04,175000000,1850000,5740000,37670000,0
corvus-generated-aot,draft-04,20200000,1850000,7150000,170000,0
blaze-compile,fabric-mod,10600000,332870,5618617,2700000,
blaze-template,fabric-mod,9700000,332870,5618617,0,
corvus-runtime-jit,fabric-mod,151400000,168740,729340,77700000,0
corvus-runtime-r2r,fabric-mod,56600000,170550,788530,,0
corvus-runtime-aot,fabric-mod,4800000,166480,842090,320000,0
corvus-image-jit,fabric-mod,125600000,168740,729340,29270000,0
corvus-image-aot,fabric-mod,4600000,166480,842090,120000,0
corvus-generated-jit,fabric-mod,130300000,164810,648960,39810000,0
corvus-generated-aot,fabric-mod,5300000,163070,792820,160000,0
blaze-compile,geojson,193400000,6410000,191609322,10400000,
blaze-template,geojson,191700000,6410000,191609322,0,
corvus-runtime-jit,geojson,459100000,5170000,51780000,79450000,0
corvus-runtime-r2r,geojson,334800000,5150000,55220000,,0
corvus-runtime-aot,geojson,138000000,5840000,58870000,910000,0
corvus-image-jit,geojson,397900000,5170000,51780000,23740000,0
corvus-image-aot,geojson,136900000,5840000,58870000,500000,0
corvus-generated-jit,geojson,391200000,5400000,50540000,35970000,0
corvus-generated-aot,geojson,133400000,6260000,58950000,470000,0
blaze-compile,gitpod-configuration,8400000,101870,3787384,2700000,
blaze-template,gitpod-configuration,7700000,101870,3787384,0,
corvus-runtime-jit,gitpod-configuration,148900000,70700,484360,82120000,0
corvus-runtime-r2r,gitpod-configuration,47000000,70410,504550,,0
corvus-runtime-aot,gitpod-configuration,4200000,67180,514180,350000,0
corvus-image-jit,gitpod-configuration,110400000,70700,484360,27150000,0
corvus-image-aot,gitpod-configuration,4200000,67180,514180,120000,0
corvus-generated-jit,gitpod-configuration,110000000,68290,490680,36420000,0
corvus-generated-aot,gitpod-configuration,4400000,68660,487990,160000,0
blaze-compile,helm-chart-lock,14400000,81260,12789329,400000,
blaze-template,helm-chart-lock,15300000,81260,12789329,0,
corvus-runtime-jit,helm-chart-lock,133400000,186770,1270000,88370000,0
corvus-runtime-r2r,helm-chart-lock,63100000,188300,1460000,,0
corvus-runtime-aot,helm-chart-lock,6300000,197360,1360000,170000,0
corvus-image-jit,helm-chart-lock,121700000,186770,1270000,15840000,0
corvus-image-aot,helm-chart-lock,6600000,197360,1360000,40000,0
corvus-generated-jit,helm-chart-lock,119100000,184970,1120000,28710000,0
corvus-generated-aot,helm-chart-lock,7100000,199490,1300000,60000,0
blaze-compile,importmap,6500000,15680,3522365,100000,
blaze-template,importmap,6500000,15680,3522365,0,
corvus-runtime-jit,importmap,129800000,20280,328170,55760000,0
corvus-runtime-r2r,importmap,44900000,19870,322330,,0
corvus-runtime-aot,importmap,4100000,22470,362800,90000,0
corvus-image-jit,importmap,106900000,20280,328170,15200000,0
corvus-image-aot,importmap,4100000,22470,362800,30000,0
corvus-generated-jit,importmap,99200000,21080,279930,28190000,0
corvus-generated-aot,importmap,4800000,23600,348120,50000,0
blaze-compile,jasmine,5600000,53270,2402245,1100000,
blaze-template,jasmine,5500000,53270,2402245,0,
corvus-runtime-jit,jasmine,138600000,52150,289070,99430000,0
corvus-runtime-r2r,jasmine,44700000,51600,273910,,0
corvus-runtime-aot,jasmine,3300000,53880,243140,170000,0
corvus-image-jit,jasmine,111000000,52150,289070,18310000,0
corvus-image-aot,jasmine,3200000,53880,243140,70000,0
corvus-generated-jit,jasmine,107900000,52960,231250,31720000,0
corvus-generated-aot,jasmine,3500000,57110,270520,90000,0
blaze-compile,jsconfig,13900000,179690,3366343,8200000,
blaze-template,jsconfig,12200000,179690,3366343,0,
corvus-runtime-jit,jsconfig,153300000,145720,464810,92000000,0
corvus-runtime-r2r,jsconfig,53400000,145660,476010,,0
corvus-runtime-aot,jsconfig,4500000,155710,483620,910000,0
corvus-image-jit,jsconfig,135700000,145720,464810,30090000,0
corvus-image-aot,jsconfig,3900000,155710,483620,410000,0
corvus-generated-jit,jsconfig,118700000,145950,428040,39280000,0
corvus-generated-aot,jsconfig,4700000,148890,480530,490000,0
blaze-compile,jshintrc,9400000,466250,4897507,2300000,
blaze-template,jshintrc,9200000,466250,4897507,0,
corvus-runtime-jit,jshintrc,127500000,107500,624760,79450000,0
corvus-runtime-r2r,jshintrc,47900000,108130,651690,,0
corvus-runtime-aot,jshintrc,4700000,108090,732530,250000,0
